task,app_id,model_name,repeat,instance_id,strategy,parameter,parameter_value,success,time_seconds
counterfactual,wine_quality,mlp,1,335,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,335,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,281,cf_lr_calculation,memory_recall_threshold,-5.0,0.5345610702502211,1.9999999999999998
counterfactual,wine_quality,mlp,1,281,cf_lr_heuristic,memory_recall_threshold,-5.0,0.33333333333333337,9.500000000000002
counterfactual,wine_quality,mlp,1,281,cf_dt_read,memory_recall_threshold,-5.0,1.0,6.19317573487651
counterfactual,wine_quality,mlp,1,281,cf_dt_retrieve,memory_recall_threshold,-5.0,0.25,5.638633445040199
counterfactual,wine_quality,mlp,1,281,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,281,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,167,cf_lr_calculation,memory_recall_threshold,-5.0,0.6448328567948611,2.0
counterfactual,wine_quality,mlp,1,167,cf_lr_heuristic,memory_recall_threshold,-5.0,0.4,9.5
counterfactual,wine_quality,mlp,1,167,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,167,cf_dt_retrieve,memory_recall_threshold,-5.0,0.625,4.896777870866833
counterfactual,wine_quality,mlp,1,167,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,167,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,2,318,cf_lr_calculation,memory_recall_threshold,-5.0,0.2061501616485559,2.0
counterfactual,wine_quality,mlp,2,318,cf_lr_heuristic,memory_recall_threshold,-5.0,0.25,9.5
counterfactual,wine_quality,mlp,2,318,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,2,318,cf_dt_retrieve,memory_recall_threshold,-5.0,0.0,4.54147508378015
counterfactual,wine_quality,mlp,2,318,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,2,318,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,2,69,cf_lr_calculation,memory_recall_threshold,-5.0,0.0,2.0
counterfactual,wine_quality,mlp,2,69,cf_lr_heuristic,memory_recall_threshold,-5.0,0.0,9.5
