app_id,model_name,dataset,instance_id,row_idx,calculation_mode,decision_boundary,n_selected_features,prob_correct,pred_time,reward,decision_noise,memory_recall_threshold,opportunity_cost
wine_quality,mlp,wine_quality/mlp,170,27,retrieve,1.0,6,0.5672885436094725,20.906513439616962,0.4548991720799985,0.41900176802975875,-0.022527354206013372,0.004801822734308259
wine_quality,mlp,wine_quality/mlp,170,27,read,1.0,6,0.886098116508486,17.78801701455466,0.7886832120097353,0.41900176802975875,-0.022527354206013372,0.004801822734308259
wine_quality,mlp,wine_quality/mlp,167,28,retrieve,1.0,6,0.6250000236538865,20.361257138758567,0.42880752104706354,0.36699830129493227,1.3830672419566254,0.009046224471877242
wine_quality,mlp,wine_quality/mlp,167,28,read,1.0,6,0.46576608479345627,20.912963716454566,0.26458272064218413,0.36699830129493227,1.3830672419566254,0.009046224471877242
wine_quality,mlp,wine_quality/mlp,125,29,retrieve,1.0,6,0.7803926723687171,20.95473848392777,0.4161233092705465,0.4157873383236604,-0.36759109711798643,0.016810964420689873
wine_quality,mlp,wine_quality/mlp,125,29,read,1.0,6,0.9054748513268759,17.651939937696817,0.5967287170781002,0.4157873383236604,-0.36759109711798643,0.016810964420689873
wine_quality,mlp,wine_quality/mlp,332,30,retrieve,1.0,6,0.5312561588860789,19.13091941880402,0.4547400575072735,0.38477650407006403,1.003449599499958,0.003372347139541643
wine_quality,mlp,wine_quality/mlp,332,30,read,1.0,6,0.9331147654126721,17.939914815190797,0.8606151450020427,0.38477650407006403,1.003449599499958,0.003372347139541643
wine_quality,mlp,wine_quality/mlp,129,31,retrieve,1.0,6,0.5830432863226549,21.6235285367524,0.514751558367373,0.38435522501467534,-0.14103297661089698,0.002603262823623154
wine_quality,mlp,wine_quality/mlp,129,31,read,1.0,6,0.7414523740953406,19.7055255445754,0.678153712025191,0.38435522501467534,-0.14103297661089698,0.002603262823623154
wine_quality,mlp,wine_quality/mlp,276,32,retrieve,1.0,6,0.5764911577011229,19.700653702227928,0.5471473907346268,0.44924107634276456,0.29235308035084895,0.0008803650492336046
wine_quality,mlp,wine_quality/mlp,276,32,read,1.0,6,0.5514134994157116,18.43745746842919,0.5231818062637754,0.44924107634276456,0.29235308035084895,0.0008803650492336046
wine_quality,mlp,wine_quality/mlp,94,33,retrieve,1.0,6,0.5842915707642838,20.060368877286074,0.4537758809242832,0.39367205763864105,0.2532721895778747,0.005907951671526508
wine_quality,mlp,wine_quality/mlp,94,33,read,1.0,6,0.45204963752945304,19.93271171463101,0.3222881400369427,0.39367205763864105,0.2532721895778747,0.005907951671526508
wine_quality,mlp,wine_quality/mlp,140,34,retrieve,1.0,6,0.9040735443941943,23.2981818631049,0.4869259167929572,0.32685895297432016,-0.9759395705301163,0.017389667141487576
wine_quality,mlp,wine_quality/mlp,140,34,read,1.0,6,0.5957470014567062,22.744520919117864,0.1882273533806455,0.32685895297432016,-0.9759395705301163,0.017389667141487576
wine_quality,mlp,wine_quality/mlp,232,35,retrieve,1.0,6,0.8530507178046314,20.5086733969787,0.47194484350218097,0.3310695460866092,-0.40227397433996315,0.01799754997106865
wine_quality,mlp,wine_quality/mlp,232,35,read,1.0,6,0.9938377757079727,17.045472218027843,0.6750610376835542,0.3310695460866092,-0.40227397433996315,0.01799754997106865
wine_quality,mlp,wine_quality/mlp,264,36,retrieve,1.0,6,0.6258909175236025,20.640159025090043,0.2137672779661779,0.482694412909986,-0.3375240834342642,0.019385685888904096
wine_quality,mlp,wine_quality/mlp,264,36,read,1.0,6,0.5967137843782329,17.737886397800544,0.24085269033740692,0.482694412909986,-0.3375240834342642,0.019385685888904096
wine_quality,mlp,wine_quality/mlp,115,37,retrieve,1.0,6,0.7106644760119509,20.049889926419844,0.36648101440292163,0.49033165201410184,-0.7362047309317611,0.01656784465291799
wine_quality,mlp,wine_quality/mlp,115,37,read,1.0,6,0.8876239833687595,16.620425538706982,0.6002593549780715,0.49033165201410184,-0.7362047309317611,0.01656784465291799
wine_quality,mlp,wine_quality/mlp,61,38,retrieve,1.0,6,0.468762229445018,20.6563469843314,0.09982263770815471,0.48396563048572233,1.881580521899938,0.017279899103535352
wine_quality,mlp,wine_quality/mlp,61,38,read,1.0,6,0.9106017158862189,16.521174419007945,0.6131174888538522,0.48396563048572233,1.881580521899938,0.017279899103535352
