Participant ID,dataId,expMethod,modelName,Session,Tested w/ XAI,XAIType,Strategy,Assignment Prob,NLL,PAI,MAI,sensitivity,k,retrieval_threshold,scaling_factor
4,forest_cover,shap,xgboost,1,w/o XAI,Importance,Sensitive-features categorization,1,0.1244885916,0.6111111111,0.6111111111,26.151047959,3,-2.368680065,
4,forest_cover,shap,xgboost,2,w/ XAI,Importance,Salient-features categorization,1,0.6546390037,0.5,0.4444444444,1.0,2,-1.069932343,
4,forest_cover,shap,xgboost,2,w/o XAI,Importance,Attribution Sum,1,0.3568617316,0.6111111111,0.6666666667,,5,-2.787268138,2.0168815319
207,forest_cover,shap,xgboost,1,w/ XAI,Attribution,Attribution Sum,1,0.0009448354,1.0,1.0,,5,-1.718306603,8.0
207,forest_cover,shap,xgboost,2,w/ XAI,Attribution,Attribution Sum,1,0.6651873792,0.6666666667,0.5,,4,-1.718306603,0.1
207,forest_cover,shap,xgboost,2,w/o XAI,Attribution,Attribution Sum,1,0.5234200744,0.6111111111,0.6666666667,,5,-3.952351085,1.3923006722
261,wine_quality,lime,mlp,1,w/ XAI,Attribution,Attribution Sum,1,0.4564735538,0.6666666667,0.7222222222,,3,-1.718306603,1.2349080257
261,wine_quality,lime,mlp,2,w/ XAI,Attribution,Attribution Sum,1,0.2462081394,1.0,0.8333333333,,3,-1.718306603,4.4309260873
261,wine_quality,lime,mlp,2,w/o XAI,Attribution,Attribution Sum,1,0.6023560059,0.7222222222,0.7222222222,,5,-3.952351085,0.3240728119
140,forest_cover,shap,xgboost,1,w/ XAI,Attribution,Attribution Sum,1,0.2583960398,0.8888888889,0.7777777778,,5,-1.718306603,1.2349080257
140,forest_cover,shap,xgboost,1,w/o XAI,Attribution,Sensitive-features categorization,1,0.5884106964,0.5555555556,0.4444444444,1.0,5,-1.509060182,
140,forest_cover,shap,xgboost,2,w/ XAI,Attribution,Attribution Sum,1,0.0584264104,0.9444444444,0.9444444444,,5,-1.718306603,8.0
140,forest_cover,shap,xgboost,2,w/o XAI,Attribution,Sensitive-features categorization,1,0.6685210367,0.5,0.4444444444,1.0,3,-2.706550117,
231,wine_quality,lime,mlp,1,w/ XAI,Attribution,Attribution Sum,1,0.3480300089,0.9444444444,0.9444444444,,5,-1.718306603,1.2349080257
231,wine_quality,lime,mlp,1,w/o XAI,Attribution,Sensitive-features categorization,1,0.5265302758,0.8333333333,0.6111111111,31.294501107,5,-2.706550117,
231,wine_quality,lime,mlp,2,w/ XAI,Attribution,Attribution Sum,1,0.0835796041,0.9444444444,1.0,,4,-1.718306603,4.4309260873
231,wine_quality,lime,mlp,2,w/o XAI,Attribution,Attribution Sum,1,0.5086390148,0.7222222222,0.8888888889,,3,-3.952351085,1.3923006722
251,forest_cover,shap,xgboost,1,w/ XAI,Attribution,Attribution Sum,1,0.0101042398,1.0,1.0,,4,-1.718306603,8.0
251,forest_cover,shap,xgboost,1,w/o XAI,Attribution,Sensitive-features categorization,1,0.5271904286,0.5,0.6111111111,31.294501107,1,-1.509060182,
251,forest_cover,shap,xgboost,2,w/ XAI,Attribution,Attribution Sum,1,0.2696444282,0.8333333333,0.8333333333,,4,-1.718306603,1.2349080257
251,forest_cover,shap,xgboost,2,w/o XAI,Attribution,Attribution Sum,1,0.5543514267,0.6666666667,0.6111111111,,5,-3.952351085,1.3923006722
212,forest_cover,shap,xgboost,1,w/ XAI,Importance,Sensitive-features categorization,1,0.5944045385,0.6111111111,0.5,1.0,1,-2.525057817,
212,forest_cover,shap,xgboost,1,w/o XAI,Importance,Attribution Sum,1,0.0883979348,0.7222222222,0.7222222222,,5,-2.787268138,3.9464879396
212,forest_cover,shap,xgboost,2,w/ XAI,Importance,Salient-features categorization,1,0.454499832,0.7222222222,0.7777777778,1.0,2,-2.491875867,
212,forest_cover,shap,xgboost,2,w/o XAI,Importance,Sensitive-features categorization,1,0.2953995493,0.8333333333,0.7222222222,26.151047959,2,-2.368680065,
116,wine_quality,lime,mlp,1,w/ XAI,Attribution,Attribution Sum,1,0.0174729798,1.0,1.0,,5,-1.718306603,8.0
116,wine_quality,lime,mlp,1,w/o XAI,Attribution,Sensitive-features categorization,1,0.630650709,0.5,0.5555555556,1.0,3,-2.706550117,
