episode,step,condition_name,condition_mode,episode_complexity,app_id,model_name,explanation_type,selected_strategy,selected_strategy_available,reward,decision_noise,memory_recall_threshold,opportunity_cost,lr_calculation_prob_correct,lr_heuristic_prob_correct,dt_traversal_prob_correct,lr_calculation_pred_time,lr_heuristic_pred_time,dt_traversal_pred_time,selected_prob_correct,selected_pred_time,selected_decision_boundary,selected_mode,sweep_parameter,sweep_value
1,3,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.8954475445166243,0.3,0.5,0.01,0.9998056103490677,0.2864805986046572,0.0,10.435806583244336,5.027944177484006,0.0,0.9998056103490677,10.435806583244336,0.6,read,decision_noise,0.3
1,4,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.6205141422250255,0.3,0.5,0.01,0.5,0.675468005107762,0.0,6.0,5.495386288273646,0.0,0.675468005107762,5.495386288273646,0.6,heuristic,decision_noise,0.3
1,5,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9185721029015596,0.3,0.5,0.01,0.9999960948810513,0.4347620711410769,0.0,8.142399197949178,4.775405108143351,0.0,0.9999960948810513,8.142399197949178,0.6,read,decision_noise,0.3
1,6,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.8917486260265073,0.3,0.5,0.01,0.99999970523793,0.8739666481420987,0.0,10.825107921142276,5.204525776764693,0.0,0.99999970523793,10.825107921142276,1.5,read,decision_noise,0.3
1,7,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.8899738156396428,0.3,0.5,0.01,0.9838194835168054,0.4157798830651467,0.0,9.384566787716254,5.122774969355348,0.0,0.9838194835168054,9.384566787716254,0.6,read,decision_noise,0.3
1,8,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9365008339683938,0.3,0.5,0.01,0.999924800140712,0.8638159313965706,0.0,6.342396617231817,5.356407543093584,0.0,0.999924800140712,6.342396617231817,0.6,read,decision_noise,0.3
1,9,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9375049316236694,0.3,0.5,0.01,0.9999775733571757,0.7524082075259381,0.0,6.247264173350631,5.143724269956378,0.0,0.9999775733571757,6.247264173350631,0.6,read,decision_noise,0.3
1,10,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.7626526878548232,0.3,0.5,0.01,0.43750020244928467,0.8343516530899951,0.0,5.574999757435857,7.169896523517196,0.0,0.8343516530899951,7.169896523517196,0.6,heuristic,decision_noise,0.3
1,11,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.3035559827597832,0.3,0.5,0.01,0.5624997975507153,0.3749635979431257,0.0,5.574999757435857,7.140761518334252,0.0,0.3749635979431257,7.140761518334252,0.6,heuristic,decision_noise,0.3
1,12,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.5343215423610641,0.3,0.5,0.01,0.406250303673927,0.6042931724583464,0.0,5.362499636153785,6.997163009728229,0.0,0.6042931724583464,6.997163009728229,0.6,heuristic,decision_noise,0.3
1,13,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.8541517485404239,0.3,0.5,0.01,0.9532094232895657,0.7905405866656232,0.0,9.905767474914189,5.617061010181878,0.0,0.9532094232895657,9.905767474914189,0.6,read,decision_noise,0.3
